station,latitude,longitude
"12th St & Pennsylvania Ave SE	", 38.8823795,-76.9924297
"King Greenleaf Rec Center	", 38.875,-77.0149665
"Park Run & Onyx Dr	", 38.9273171,-77.2286433
"4th & East Capitol St NE	", 38.889813,-77.0027702
"11th & Girard St NW	", 38.925755,-77.0292287
"Crystal Dr & 15th St S	", 38.8601073,-77.051528
"Market Square / King St & Royal St	", 38.8046424,-77.0458398
"Lee Hwy & N Kirkwood Rd	", 38.8811519,-77.1820692
"Massachusetts Ave & Dupont Circle NW	", 38.909303,-77.0449701
"20th & Crystal Dr	", 38.8561135,-77.0515096
"US Dept of State / Virginia Ave & 21st St NW	", 38.8952467,-77.0488613
"Iwo Jima Memorial/N Meade & 14th St N	", 38.8902058,-77.0736294
"14th & Belmont St NW	", 38.921086,-77.0340617
"Crystal Dr & 23rd St S	", 38.8531752,-77.0517475
"4th St & Madison Dr NW	", 38.8905995,-77.019759
"Henry St & Pendleton St	", 38.8112938,-77.0523338
"Key Blvd & N Quinn St	", 38.8960451,-77.0806539
"Mount Vernon Ave & Bruce St	", 38.8412583,-77.0654836
"Barton St & 10th St N	", 38.8845427,-77.0899212
"Blueridge Ave & Elkins St	", 39.0440988,-77.0508404
"Radford & Osage St	", 38.8283028,-77.0882961
"Walter Reed Community Center / Walter Reed Dr & 16th St S	", 38.8566514,-77.0904101
"Ripley & Bonifant St	", 38.9933016,-77.0316115
"15th St & Pennsylvania Ave NW/Pershing Park	", 38.8987597,-77.035866
"19th & Savannah St SE	", 38.846473,-76.9792438
"26th & S Clark St	", 38.850831,-77.0539577
"15th St & Massachusetts Ave SE	", 38.8871633,-76.985838
"9th & Upshur St NW	", 38.9418906,-77.0272493
"Spring Hill Metro	", 38.9292995,-77.2421248
"18th & Eads St.	", 38.8573619,-77.0552713
"10th & E St NW	", 38.8573566,-77.0881021
"Nannie Helen Burroughs & Minnesota Ave NE	", 38.9019647,-76.9447538
"New York Ave & 15th St NW	", 38.8987597,-77.035866
"Georgetown Harbor / 30th St NW	", 38.9125309,-77.0614937
"20th & E St NW	", 38.9015922,-77.049289
"Shady Grove Metro East	", 39.1210506,-77.1662922
"Hamlin & 7th St NE	", 38.9274204,-76.9983505
"Rolfe St & 9th St S	", 38.8663539,-77.0782955
"Congressional Ln & E Jefferson St	", 39.062272,-77.1312257
"Citadel Ave & McGrath Blvd	", 39.0487697,-77.1116124
"8th & D St NW	", 38.8947972,-77.0251575
"Dennis & Amherst Ave	", 39.0253872,-77.0795819
"5th St & Massachusetts Ave NW	", 38.9011312,-77.0211149
"Twinbrook Metro	", 39.0608333,-77.1224083
"13th St & Eastern Ave	", 38.9869283,-77.0318327
"Columbia & Ontario Rd NW	", 38.9221879,-77.0423629
"47th & Elm St	", 38.9824169,-77.09431
"Georgia Ave & Kennedy St NW	", 38.9562202,-77.0302297
"N Rhodes & 16th St N	", 38.8918617,-77.0814458
"Amherst Ave & Prichard Rd	", 39.036479,-77.0505507
"13th & H St NE	", 38.9002048,-76.9904978
"Aurora Hills Community Ctr/18th & Hayes St	", 38.8572537,-77.0579237
"15th & Crystal Dr	", 38.8601073,-77.051528
"6th & H St NE	", 38.9002104,-77.0006328
"Eastern Market Metro / Pennsylvania Ave & 7th St SE	", 38.8908869,-77.0132516
"King St Metro South	", 38.8061386,-77.0672317
"Lee Hwy & N Woodstock St	", 38.875243,-77.2171256
"13th St & New York Ave NW	", 38.9002912,-77.031777
"7th & T St NW	", 38.915572,-77.0241077
"3rd & H St NW	", 38.8997403,-77.0174007
"Monroe Ave & Leslie Ave	", 38.8209884,-77.0549946
"S Joyce & 16th St S	", 38.8584888,-77.0655009
"18th & M St NW	", 38.9056568,-77.0438763
"3rd St & Pennsylvania Ave SE	", 38.8871908,-77.0042329
"3rd & Underwood St NW	", 38.9686299,-77.0183647
"Towers Crescent Dr & Tysons One Pl	", 38.9140123,-77.2220885
"Nannie Helen Burroughs Ave & 49th St NE	", 38.8986855,-76.93385
"12th & Newton St NE	", 38.933526,-76.9932677
"M St & New Jersey Ave SE	", 38.8764395,-77.0063335
"36th & Calvert St NW / Glover Park	", 38.922542,-77.0730821
"Potomac & M St NW	", 38.9051294,-77.0673631
"2nd & G St NE	", 38.8989165,-77.0056965
"14th & Luzon St NW	", 38.9697781,-77.0356147
"23rd & Crystal Dr	", 38.8531752,-77.0517475
"Powhatan St & Bashford Ln	", 38.818597,-77.0495765
"Pennsylvania & Minnesota Ave SE	", 38.8735275,-76.9726967
"Glebe Rd & 11th St N	", 38.8835032,-77.1225278
"13th & E St SE	", 38.8829266,-76.9896752
"Westpark Dr & Leesburg Pike	", 38.9239058,-77.2386103
"Columbus Circle / Union Station	", 38.896995,-77.0085727
"8th & East Capitol St NE	", 38.8898051,-76.9971535
